firstName,lastName,email,password,position,department,role,active
Jane,Xis,jaxi91@mail.com,LadyBug11,junior,2,USER,true
Jane,Xis,jaxi92@mail.com,LadyBug11,middle,1,USER,true
Jane,Xis,jaxi93@mail.com,LadyBug11,senior,2,ADMIN,true
Jane,Xis,jaxi94@mail.com,LadyBug11,junior,1,USER,true
Jane,Xis,jaxi95@mail.com,LadyBug11,middle,2,USER,false
Jane,Xis,jaxi96@mail.com,LadyBug11,senior,1,ADMIN,false
Jane,Xis,jaxi97@mail.com,LadyBug11,junior,2,USER,true

Jane,Xis,leau1@mail.com,LadyBug11,junior,2,USER,true
Jane,Xis,jaxi001@mail.com,LadyBug11,junior,2,some,true
Jane,Xis,jaxi002@mail.com,LadyBug11,junior,999,USER,true
Jane,Xis,jaxi003@mail.com,Lady,junior,2,USER,true
August,Leonard,@leau75,LadyBug11,junior,2,USER,true

Jane007,Xis,jaxi004@mail.com,LadyBug11,junior,2,USER,true
Jane,Xis007,jaxi004@mail.com,LadyBug11,junior,2,USER,true
Jane,Xis,jaxi004@mail.com,LadyBug11,junior007,2,USER,true





User,Xis,jaxi97777@mail.com,LadyBug11,lead,2,USER,true
Admin,Xis,jaxi98888@mail.com,LadyBug11,lead,1,ADMIN,true



